SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
St Mary's Gardens (Greenwich),Park,Greenwich,1.8306,Free,,,,,,,,,
Gunner Lane Open Space,Amenity green space,Greenwich,1.7244,Free,,,,,,,,,
Plumstead Common W of Blendon Terrace,Common,Greenwich,2.9354,Free,,,,,,,,,
Central Way Drain,Canal,Greenwich,1.2816,Free,,,,,,,,,
Eltham Park South,Park,Greenwich,16.7912,Free,,,,,,,,,
Jack Wood,Public woodland,Greenwich,16.6958,Free,,,,,,,,,
Thamesmead canal,Canal,Greenwich,3.0924,Free,,,,,,,,,
Eaglesfield Park,Park,Greenwich,2.476,Free,,,,,,,,,
Bentham Rd Drain W,Canal,Greenwich,0.6694,Free,,,,,,,,,
Coldharbour allotments,Allotments,Greenwich,1.2888,Free,,,,,,,,,
The Grove,Amenity green space,Greenwich,1.328,Free,,,,,,,,,
Amenity Grassland Behind New Flats,Amenity green space,Greenwich,0.1364,Free,,,,,,,,,
Well Hall Pleasaunce,Formal garden,Greenwich,4.4146,Free,,,,,,,,,
Horn Park,Park,Greenwich,6.6406,Free,,,,,,,,,
Partridge Green (Greenwich),Amenity green space,Greenwich,0.305,Free,,,,,,,,,
Hickin and Gallion Close Green,Amenity green space,Greenwich,0.1635,Free,,,,,,,,,
Eltham Palace Recreation Ground,Recreation ground,Greenwich,3.4019,Free,,,,,,,,,
Maryon Grove Open Space,Amenity green space,Greenwich,0.3463,Free,,,,,,,,,
Altash Gardens,Park,Greenwich,0.9156,Free,,,,,,,,,
Eltham Common Grassland,Common,Greenwich,2.1617,Free,,,,,,,,,
Bostall Woods,Nature reserve,Greenwich,33.0567,Free,,,,,,,,,
Bostal Heath Triangle,Park,Greenwich,1.1748,Free,,,,,,,,,
High grove,Amenity green space,Greenwich,0.1674,Free,,,,,,,,,
Kentlea Road Green Space,Amenity green space,Greenwich,0.0272,Free,,,,,,,,,
Drain N of Bentham Rd,Canal,Greenwich,0.5731,Free,,,,,,,,,
Greenwich Cemetery,Cemetery/churchyard,Greenwich,9.1938,Free,,,,,,,,,
Oxleas meadow,Park,Greenwich,11.3111,Free,,,,,,,,,
Academy Place Reservoirs,Amenity green space,Greenwich,3.9863,De facto,,,,,,,,,
Homebase scrub,Recreation ground,Greenwich,1.1805,Free,,,,,,,,,
Blackheath Society Conservation Area,Nature reserve,Greenwich,1.7681,De facto,,,,,,,,,
Twinkle Park,Park,Greenwich,0.61,Free,,,,,,,,,
Gravel Pit Lane,Walking/cycling route,Greenwich,0.7442,Free,,,,,,,,,
Rancliffe Gardens,Amenity green space,Greenwich,0.408,Free,,,,,,,,,
Fairy Hill Park,Park,Greenwich,4.6572,Free,,,,,,,,,
Briset Road Park,Park,Greenwich,0.846,Free,,,,,,,,,
Coldharbour Playing Fields,Recreation ground,Greenwich,8.9382,Free,,,,,,,,,
All mead gardens,Adventure playground,Hackney,0.3159,Free,,,,,,,,,
Daubeney Fields,Park,Hackney,3.3571,Free,,,,,,,,,
Hackney Marsh Adventure Playground,Adventure playground,Hackney,1.0011,Restricted,,,,,,,,,
Digby Road Open Space,Play space,Hackney,0.1277,Free,,,,,,,,,
Egerton Rd Open Space,Amenity green space,Hackney,1.0647,De facto,,,,,,,,,
Town Hall Square,Amenity green space,Hackney,0.0582,Free,,,,,,,,,
Shacklewell Green,Formal garden,Hackney,0.1009,Free,,,,,,,,,
Clapton Pond,Park,Hackney,0.3331,Free,,,,,,,,,
Stoke Newington Common,Common,Hackney,2.4454,Free,,,,,,,,,
Cazenove Road North,Amenity green space,Hackney,0.2646,Free,,,,,,,,,
Broadway Market,Civic/market square,Hackney,0.3594,Free,,,,,,,,,
Evergreen Adventure Playground,Adventure playground,Hackney,0.2638,Free,,,,,,,,,
Robin Hood Community Garden,Community garden,Hackney,0.1227,Free,,,,,,,,,
Goldsmith Square Recreation Ground,Recreation ground,Hackney,0.2924,Free,,,,,,,,,
Wick Woodland,Park,Hackney,11.2731,Free,,,,,,,,,
Mabley Green,Recreation ground,Hackney,14.1019,Free,,,,,,,,,
Marsh Hill Open Space,Park,Hackney,0.3277,Free,,,,,,,,,
"Regents Canal, Broadway Market",Canal,Hackney,0.3625,Free,,,,,,,,,
St Thomas Recreation Ground,Recreation ground,Hackney,0.2742,Free,,,,,,,,,
St Thomas Long Burial Ground,Cemetery/churchyard,Hackney,0.3456,Free,,,,,,,,,
St. Thomas' Square Garden,Formal garden,Hackney,0.293,Free,,,,,,,,,
Stonebridge Gardens,Park,Hackney,1.2882,Free,,,,,,,,,
"Regents Canal, Queensbridge Road",Canal,Hackney,0.9107,Free,,,,,,,,,
St Leonard C of E Churchyard,Cemetery/churchyard,Hackney,0.5581,Free,,,,,,,,,
Hackney City Farm,City farm,Hackney,0.485,Free,,,,,,,,,
Fassett Square,Amenity green space,Hackney,0.0572,Free,,,,,,,,,
"Regents Canal, Cambridge Heath Road",Canal,Hackney,0.4004,Free,,,,,,,,,
Kit Crowley Gardens,Other recreational,Hackney,0.1588,Free,,,,,,,,,
Quaker Burial Ground,Cemetery/churchyard,Hackney,0.0641,Free,,,,,,,,,
Homerton Grove,Amenity green space,Hackney,0.4304,Free,,,,,,,,,
Hackney Marsh East Marsh,Park,Hackney,16.7055,Free,,,,,,,,,
Hackney Community Tree Nursery and Edible Forest Garden,Community garden,Hackney,0.9633,Free,,,,,,,,,
Lea Navigation Tow path,Canal,Hackney,0.2297,Free,,,,,,,,,
Windsor Terrace Open Space,Amenity green space,Hackney,0.0648,Free,,,,,,,,,
Aske Gardens,Other recreational,Hackney,0.2978,Free,,,,,,,,,
St John of Jesusalem Churchyard,Cemetery/churchyard,Hackney,0.495,Free,,,,,,,,,
Minson Road,Amenity green space,Hackney,0.0805,De facto,,,,,,,,,
Jarrow and Lindisfarne Way Open Space,Amenity green space,Hackney,0.4298,Free,,,,,,,,,
St John's at Hackney Churchyard,Cemetery/churchyard,Hackney,2.8341,Free,,,,,,,,,
Shore Gardens,Park,Hackney,0.1509,Free,,,,,,,,,
Ufton Gardens,Community garden,Hackney,0.2202,Free,,,,,,,,,
"Regents Canal, Southgate Road",Canal,Hackney,0.4036,Free,,,,,,,,,
"Regents Canal, New North Road",Canal,Hackney,0.7922,Free,,,,,,,,,
London Fields,Common,Hackney,12.9036,Free,,,,,,,,,
Broadway Market Green,Park,Hackney,0.182,Free,,,,,,,,,
Nisbet House,Play space,Hackney,0.8411,Free,,,,,,,,,
Homerton Grove Adventure Playground,Adventure playground,Hackney,0.4478,Restricted,,,,,,,,,
Millfields Park,Recreation ground,Hackney,23.3191,Free,,,,,,,,,
Hackney Marshes,Park,Hackney,75.8361,Free,,,,,,,,,
Middlesex Filter Beds Nature Reserve,Nature reserve,Hackney,4.0605,Free,,,,,,,,,
Clissold Park,Park,Hackney,22.9573,Free,,,,,,,,,
Well Street Common,Common,Hackney,8.6364,Free,,,,,,,,,
Castle Close Open Space,Other recreational,Hackney,0.1357,Free,,,,,,,,,
Woodberry Downs Park,Park,Hackney,1.4408,Free,,,,,,,,,
Springfield Park,Park,Hackney,14.3815,Free,,,,,,,,,
Albion Parade,Amenity green space,Hackney,0.0421,Free,,,,,,,,,
Abney Park Cemetery,Cemetery/churchyard,Hackney,12.5803,Free,,,,,,,,,
Butterfield Green,Amenity green space,Hackney,1.3987,Free,,,,,,,,,
Kynaston Gardens,Formal garden,Hackney,0.0501,Free,,,,,,,,,
Clapton Square,Formal garden,Hackney,0.6398,Free,,,,,,,,,
Haggerston Park,Park,Hackney,8.3411,Free,,,,,,,,,
Stonebridge Common,Formal garden,Hackney,0.0927,Free,,,,,,,,,
St Mary's Secret Garden,Community garden,Hackney,0.2949,Free,,,,,,,,,
"Regents Canal, West of Queensbridge Road",Canal,Hackney,0.2309,Free,,,,,,,,,
Mark Street Garden,Amenity green space,Hackney,0.2053,Free,,,,,,,,,
Hoxton Community Garden,Community garden,Hackney,0.4157,Free,,,,,,,,,
St John's Hoxton Churchyard,Cemetery/churchyard,Hackney,0.4016,Free,,,,,,,,,
"Regents Canal, Kingsland Basin",Canal,Hackney,1.2248,Free,,,,,,,,,
Hoxton Square,Formal garden,Hackney,0.2385,Free,,,,,,,,,
Shoreditch Adventure Playground,Adventure playground,Hackney,0.5573,Restricted,,,,,,,,,
Albion Square,Formal garden,Hackney,0.1611,Free,,,,,,,,,
"Regents Canal, Whitmore Road",Canal,Hackney,0.5921,Free,,,,,,,,,
"Regents Canal, Packington Square",Canal,Hackney,0.8153,Free,,,,,,,,,
Shepherdess Walk,Recreation ground,Hackney,0.875,Free,,,,,,,,,
Clapton Common,Common,Hackney,2.8353,Free,,,,,,,,,
Spring Hill Recreation Ground,Playing fields,Hackney,4.2391,Free,,,,,,,,,
West Hackney Recreation Ground,Recreation ground,Hackney,0.9146,Free,,,,,,,,,
Levy Memorial Garden,Formal garden,Hackney,0.019,Free,,,,,,,,,
Allens Gardens,Formal garden,Hackney,0.901,Free,,,,,,,,,
Woodberry Wetlands,Nature reserve,Hackney,10.7709,Free,,,,,,,,,
Rowley Gardens,Park,Hackney,0.666,Free,,,,,,,,,
Myddleton Avenue,Formal garden,Hackney,0.2902,Free,,,,,,,,,
De Beauvoir Square,Formal garden,Hackney,0.6733,Free,,,,,,,,,
Hackney Downs,Park,Hackney,16.7793,Free,,,,,,,,,
Ridley Road Street Market,Civic/market square,Hackney,0.7352,Free,,,,,,,,,
Shakespeare Walk adventure Playground,Adventure playground,Hackney,0.2047,Free,,,,,,,,,
Church Street Garden,Amenity green space,Hackney,0.0352,Free,,,,,,,,,
Charles Square,Formal garden,Hackney,0.1172,Free,,,,,,,,,
Shoreditch Park,Park,Hackney,7.1617,Free,,,,,,,,,
Hackney Road Recreation Ground,Recreation ground,Hackney,0.1846,Free,,,,,,,,,
"Regents Canal, Haggerston Road",Canal,Hackney,0.5602,Free,,,,,,,,,
East and West Bank Nature Reserve,Nature reserve,Hackney,0.3338,Free,,,,,,,,,
St Mary's Old Church,Cemetery/churchyard,Hackney,0.2821,Free,,,,,,,,,
Eel Brook Common,Park,Hammersmith and Fulham,5.5925,Free,,,,,,,,,
Starch Green,Common,Hammersmith and Fulham,0.0837,Free,,,,,,,,,
Strode Road Open Space,Recreation ground,Hammersmith and Fulham,1.3248,Free,,,,,,,,,
Moat Gardens (Bishops Park and Fulham Palace Grounds),Park,Hammersmith and Fulham,1.6661,Free,,,,,,,,,
Parsons Green,Common,Hammersmith and Fulham,1.0417,Free,,,,,,,,,
South Parklands Imperial Wharf,Formal garden,Hammersmith and Fulham,2.4233,Free,,,,,,,,,
Normand Park,Park,Hammersmith and Fulham,2.56,Free,,,,,,,,,
Brook Green,Park,Hammersmith and Fulham,2.1674,Free,,,,,,,,,
Wormwood Scrubs,Park,Hammersmith and Fulham,74.5746,Free,,,,,,,,,
Frank Banfield Park,Park,Hammersmith and Fulham,1.4243,Free,,,,,,,,,
St Peter's Square,Formal garden,Hammersmith and Fulham,0.7034,Free,,,,,,,,,
Hurlingham Park,Park,Hammersmith and Fulham,22.4448,Free,,,,,,,,,
Peabody Estate Garden,Formal garden,Hammersmith and Fulham,0.0747,Free,,,,,,,,,
Fulham Palace Road Cemetery,Cemetery/churchyard,Hammersmith and Fulham,5.1399,Free,,,,,,,,,
Greyhound Park,Park,Hammersmith and Fulham,1.7713,Free,,,,,,,,,
Godolphin Road Community Garden,Community garden,Hammersmith and Fulham,0.0848,Free,,,,,,,,,
Ravenscourt Park,Park,Hammersmith and Fulham,12.8883,Free,,,,,,,,,
Godolphin Road Playground,Play space,Hammersmith and Fulham,0.0335,Free,,,,,,,,,
Bishops Park,Park,Hammersmith and Fulham,10.0913,Free,,,,,,,,,
Stevenage Park,Park,Hammersmith and Fulham,0.2576,Free,,,,,,,,,
St Pauls Churchyard,Cemetery/churchyard,Hammersmith and Fulham,0.2114,Free,,,,,,,,,
Wormholt Park,Park,Hammersmith and Fulham,3.1106,Free,,,,,,,,,
Shepherds Bush Common,Common,Hammersmith and Fulham,3.3701,Free,,,,,,,,,
All Saints Churchyard (Hammersmith and Fulham),Cemetery/churchyard,Hammersmith and Fulham,1.0492,Free,,,,,,,,,
Hammersmith Park,Park,Hammersmith and Fulham,3.039,Free,,,,,,,,,
Marcus Garvey park,Park,Hammersmith and Fulham,0.5763,Free,,,,,,,,,
Brompton Park,Park,Hammersmith and Fulham,0.7563,Free,,,,,,,,,
Fulham Palace Grounds,Formal garden,Hammersmith and Fulham,5.1791,Free,,,,,,,,,
Norland North Open Space,Park,Hammersmith and Fulham,0.9931,Free,,,,,,,,,
Gwendwr Gardens,Formal garden,Hammersmith and Fulham,0.2806,Free,,,,,,,,,
Wendell Park,Park,Hammersmith and Fulham,1.7361,Free,,,,,,,,,
Bayonne Park,Park,Hammersmith and Fulham,1.1493,Free,,,,,,,,,
Westway Open Space,Amenity green space,Hammersmith and Fulham,0.3001,Free,,,,,,,,,
Little Wormwood Scrubs Recreation Ground,Recreation ground,Hammersmith and Fulham,8.8287,Free,,,,,,,,,
St. Paul's Green (Hammersmith and Fulham),Amenity green space,Hammersmith and Fulham,0.7676,Free,,,,,,,,,
William Parnell Park,Park,Hammersmith and Fulham,1.0307,Free,,,,,,,,,
Gwendwr Road Open Space,Amenity green space,Hammersmith and Fulham,0.1493,Free,,,,,,,,,
Margravine Cemetery,Cemetery/churchyard,Hammersmith and Fulham,6.5063,Free,,,,,,,,,
"St. Paul's Open Space, Hammersmith Road",Park,Hammersmith and Fulham,0.5426,Free,,,,,,,,,
Lillie Road Recreation Ground,Recreation ground,Hammersmith and Fulham,2.1208,Free,,,,,,,,,
Wormwood Scrubs,Park,Hammersmith and Fulham,0.3601,Free,,,,,,,,,
South Park (Hammersmith and Fulham),Park,Hammersmith and Fulham,8.0326,Free,,,,,,,,,
Loris Road Community Garden,Community garden,Hammersmith and Fulham,0.0962,Free,,,,,,,,,
Cathnor Park,Park,Hammersmith and Fulham,0.9264,Free,,,,,,,,,
Furnival Gardens,Formal garden,Hammersmith and Fulham,1.8279,Free,,,,,,,,,
Royal Northern Gardens,Park,Islington,0.3976,De facto,,,,,,,,,
Chambers Road Open Space,Play space,Islington,0.0694,Free,,,,,,,,,
Whitehall Community Garden,Community garden,Islington,0.0099,Free,,,,,,,,,
Canonbury Station Forecourt,Amenity green space,Islington,0.0608,De facto,,,,,,,,,
King Henry's Walk Garden,Community garden,Islington,0.1528,Restricted,,,,,,,,,
Compton Park,Play space,Islington,0.1085,Free,,,,,,,,,
Northampton Square,Formal garden,Islington,0.2747,Free,,,,,,,,,
Culpeper Street Open Space,Park,Islington,0.2315,Free,,,,,,,,,
Duncan Terrace Gardens,Formal garden,Islington,0.5728,Free,,,,,,,,,
Andersons Square Gardens,Formal garden,Islington,0.0434,Free,,,,,,,,,
"Grand Union Canal, York Way to Caledonian Rd",Canal,Islington,1.3483,Free,,,,,,,,,
Radnor Street Open Space,Park,Islington,0.3833,Free,,,,,,,,,
Gillespie Park Local Nature Reserve,Nature reserve,Islington,5.5092,Free,,,,,,,,,
St Mary's Churchyard (Islington),Cemetery/churchyard,Islington,0.0569,De facto,,,,,,,,,
Isledon Road Gardens,Park,Islington,0.3869,Free,,,,,,,,,
Landseer Gardens,Play space,Islington,0.1941,Free,,,,,,,,,
St George's Open Space,Amenity green space,Islington,0.117,Free,,,,,,,,,
Scholefield Road Open Space,Park,Islington,0.2157,Free,,,,,,,,,
Davenant Rd Open Space,Park,Islington,0.2563,Free,,,,,,,,,
Pemberton Triangle,Amenity green space,Islington,0.0213,De facto,,,,,,,,,
Giesbach Road Open Space,Amenity green space,Islington,0.0591,De facto,,,,,,,,,
St John's Church,Cemetery/churchyard,Islington,0.1481,Free,,,,,,,,,
Pilgrams Way Garden,Amenity green space,Islington,0.0202,De facto,,,,,,,,,
St Paul's Park,Amenity green space,Islington,0.5609,Free,,,,,,,,,
Nightingale Park,Park,Islington,0.4064,Free,,,,,,,,,
Arlington Square Gardens,Formal garden,Islington,0.3536,Free,,,,,,,,,
Graham Street Park,Play space,Islington,0.3299,Free,,,,,,,,,
Vincent Terrace,Walking/cycling route,Islington,0.2574,Free,,,,,,,,,
Three Corners Adventure Playground,Adventure playground,Islington,0.3867,Restricted,,,,,,,,,
St Mary Magdalene Garden,Formal garden,Islington,1.7366,Free,,,,,,,,,
Union Square,Formal garden,Islington,0.1764,Free,,,,,,,,,
Granville Square,Formal garden,Islington,0.2048,Free,,,,,,,,,
St Andrew's Church Garden,Formal garden,Islington,0.2496,Free,,,,,,,,,
Pleasant Place Garden,Amenity green space,Islington,0.0418,De facto,,,,,,,,,
King Square Park,Park,Islington,1.2574,Free,,,,,,,,,
Milner Square,Play space,Islington,0.1987,Free,,,,,,,,,
"Grand Union Canal, Tunnel to Dunbury St",Canal,Islington,0.3368,Free,,,,,,,,,
Barnard Park,Park,Islington,4.1297,Free,,,,,,,,,
Compton Terrace Public Open Space,Formal garden,Islington,0.3544,Free,,,,,,,,,
Gibson Square Gardens,Park,Islington,0.2894,Free,,,,,,,,,
Carfree Open Space,Amenity green space,Islington,0.1021,De facto,,,,,,,,,
Wilmington Square Garden,Formal garden,Islington,0.3897,Free,,,,,,,,,
Exmouth Market,Civic/market square,Islington,0.0664,De facto,,,,,,,,,
Piper Close Open Space,Formal garden,Islington,0.1912,De facto,,,,,,,,,
Caledonian Road / Stanmore Street,Amenity green space,Islington,0.026,De facto,,,,,,,,,
St Luke's Church & Garden,Formal garden,Islington,0.7555,Free,,,,,,,,,
Galway House / Grayson House Amenity Area,Park,Islington,0.1557,Free,,,,,,,,,
Basire Street Gardens,Play space,Islington,0.197,Free,,,,,,,,,
Owens Fields,Park,Islington,0.1826,Free,,,,,,,,,
"St John's Church Garden, Islington",Formal garden,Islington,0.0171,Free,,,,,,,,,
St Paul's Shrubbery,Park,Islington,0.4302,Free,,,,,,,,,
Astey's Row Playground,Park,Islington,0.2463,Free,,,,,,,,,
St Silas Church Gardens,Cemetery/churchyard,Islington,0.0191,Free,,,,,,,,,
Thornhill Square Garden,Formal garden,Islington,0.9626,Free,,,,,,,,,
Wilton Square,Formal garden,Islington,0.1404,Free,,,,,,,,,
Lonsdale Square Garden,Formal garden,Islington,0.191,Free,,,,,,,,,
Fortune Street Garden,Park,Islington,0.3772,Free,,,,,,,,,
Astey's Row Rock Garden,Walking/cycling route,Islington,0.1861,Free,,,,,,,,,
Tibby Place,Play space,Islington,0.1411,Free,,,,,,,,,
King Henry's Walk Adventure Playground,Adventure playground,Islington,0.1299,Restricted,,,,,,,,,
Morton Road Playground,Play space,Islington,0.3834,Free,,,,,,,,,
Bunhill Fields Burial Ground,Cemetery/churchyard,Islington,1.6333,Free,,,,,,,,,
Packington Square Gardens,Amenity green space,Islington,0.0599,Part free,,,,,,,,,
Highbury Fields,Playing fields,Islington,11.9693,Free,,,,,,,,,
St Mary's Church Gardens (Islington),Cemetery/churchyard,Islington,0.5656,Free,,,,,,,,,
Islington Green Gardens,Formal garden,Islington,0.3339,Free,,,,,,,,,
Spa Fields and Extension,Park,Islington,1.1868,Free,,,,,,,,,
St James Church Gardens,Cemetery/churchyard,Islington,0.5102,Free,,,,,,,,,
Frederica Street,Amenity green space,Islington,0.0474,De facto,,,,,,,,,
Paradise Park,Park,Islington,2.4275,Free,,,,,,,,,
Battishill Street Garden,Park,Islington,0.1105,Free,,,,,,,,,
Arundel Square Gardens,Park,Islington,0.7648,Free,,,,,,,,,
Barnsbury Square,Park,Islington,0.4051,Free,,,,,,,,,
Highbury Corner Open Space,Other hard surfaced areas,Islington,0.1643,Free,,,,,,,,,
Newington Green Gardens,Formal garden,Islington,0.662,Free,,,,,,,,,
Woodfall Park,Formal garden,Islington,0.152,Free,,,,,,,,,
Kinloch Street Open Space,Formal garden,Islington,0.3373,Free,,,,,,,,,
Grenville Road Open Space,Park,Islington,0.184,Free,,,,,,,,,
Elthorne Park Peace Garden,Formal garden,Islington,0.2577,Free,,,,,,,,,
Wray Crescent Open Space,Park,Islington,2.1306,Free,,,,,,,,,
Dalmeny Park,Park,Islington,0.1394,Free,,,,,,,,,
Foxham Gardens,Park,Islington,0.7284,Free,,,,,,,,,
Tufnell Park,Playing fields,Islington,1.9277,Free,,,,,,,,,
Archway Park,Park,Islington,0.8031,Free,,,,,,,,,
Zoffany Park,Play space,Islington,0.1399,Free,,,,,,,,,
Regent's Canal Garden,Amenity green space,Islington,0.0087,De facto,,,,,,,,,
Freightliners City Farm,City farm,Islington,0.4833,Restricted,,,,,,,,,
Camden Road Open Space,Amenity green space,Islington,0.0986,Free,,,,,,,,,
Sunnyside Gardens,Community garden,Islington,0.3442,Free,,,,,,,,,
Pemberton Gardens,Amenity green space,Islington,0.1128,Free,,,,,,,,,
Archway Corner,Amenity green space,Islington,0.0412,De facto,,,,,,,,,
St Jude St Open Space,Amenity green space,Islington,0.1482,Free,,,,,,,,,
New River Walk,Walking/cycling route,Islington,1.4725,Free,,,,,,,,,
Whittington Park,Park,Islington,3.8871,Free,,,,,,,,,
Caledonian Park,Park,Islington,7.0151,Free,,,,,,,,,
Dartmouth Park and Reservoir,Park,Islington,3.1496,Free,,,,,,,,,
Bishop's Close Green,Park,Islington,0.3797,Free,,,,,,,,,
Tiber Gardens,Civic/market square,Islington,0.1463,Free,,,,,,,,,
Canonbury Garden,Formal garden,Islington,0.2333,Free,,,,,,,,,
Barnsbury Wood,Nature reserve,Islington,0.3502,Restricted,,,,,,,,,
Culpeper Community Garden,Community garden,Islington,0.1961,Free,,,,,,,,,
Lever Street Community Garden,Community garden,Islington,0.0287,Restricted,,,,,,,,,
Joseph Grimaldi Park,Play space,Islington,0.7238,Free,,,,,,,,,
Caledonian Road Enclosure,Other hard surfaced areas,Islington,0.0247,De facto,,,,,,,,,
Myddelton Square Garden,Formal garden,Islington,0.5331,Free,,,,,,,,,
Rosemary Gardens (Islington),Park,Islington,2.481,Free,,,,,,,,,
Finsbury Square Garden,Park,Islington,0.701,Free,,,,,,,,,
Thornhill Rd Playground,Play space,Islington,0.1309,Free,,,,,,,,,
Edward Square,Park,Islington,0.425,Free,,,,,,,,,
Packington Estate Open Space,Amenity green space,Islington,0.1649,Free,,,,,,,,,
Highbury New Park Island,Amenity green space,Islington,0.0463,De facto,,,,,,,,,
Canonbury Square,Formal garden,Islington,0.2593,Free,,,,,,,,,
St John's Gardens (Islington),Park,Islington,0.161,Free,,,,,,,,,
Thornhill Bridge Community Garden,Community garden,Islington,0.1648,Free,,,,,,,,,
Thornhill Gardens,Formal garden,Islington,0.3169,Free,,,,,,,,,
Celestial Church of Christ Churchyard,Cemetery/churchyard,Islington,0.0817,De facto,,,,,,,,,
Spa Green,Park,Islington,0.5398,Free,,,,,,,,,
Holford Gardens,Formal garden,Islington,0.2982,Free,,,,,,,,,
Regent's Canal walk,Walking/cycling route,Islington,0.1507,De facto,,,,,,,,,
Eversleigh Street Open Space,Amenity green space,Islington,0.1053,Free,,,,,,,,,
Mountfort Terrace,Formal garden,Islington,0.0488,De facto,,,,,,,,,
Bingfield Park,Park,Islington,1.0865,Free,,,,,,,,,
Laycock St Open Space,Amenity green space,Islington,1.0042,Free,,,,,,,,,
Penn Rd Garden,Park,Islington,0.15,Free,,,,,,,,,
St Luke's Church (Islington),Cemetery/churchyard,Islington,0.0939,De facto,,,,,,,,,
Biddestone Road Open Space,Park,Islington,0.2258,Free,,,,,,,,,
Hillside Park,Park,Islington,0.7676,Free,,,,,,,,,
Elthorne Park (Islington),Park,Islington,2.3894,Free,,,,,,,,,
Emslie Horniman's Pleasance,Park,Kensington and Chelsea,1.2373,Free,,,,,,,,,
Dovehouse Green,Park,Kensington and Chelsea,0.2795,Free,,,,,,,,,
Playground Rear Of 47/55 Princedale Road,Play space,Kensington and Chelsea,0.0229,Free,,,,,,,,,
"Amenity Area,  Adjacent To 102 Pavillion Road",Amenity green space,Kensington and Chelsea,0.063,Free,,,,,,,,,
Public Playground Rear Of Wells House,Play space,Kensington and Chelsea,0.0147,Free,,,,,,,,,
Cremorne Gardens,Formal garden,Kensington and Chelsea,0.4786,Free,,,,,,,,,
Chelsea Bridge Gardens,Formal garden,Kensington and Chelsea,0.1592,Free,,,,,,,,,
St John's Notting Hill Churchyard,Cemetery/churchyard,Kensington and Chelsea,0.1815,Free,,,,,,,,,
"Playground, Adjacent To St Mary Abbots Garden",Play space,Kensington and Chelsea,0.0909,Free,,,,,,,,,
"Open Space, In Front Of 56/94 Chelsea Park Gardens",Formal garden,Kensington and Chelsea,0.0856,Free,,,,,,,,,
Holland Garden Square,Formal garden,Kensington and Chelsea,0.2929,Free,,,,,,,,,
"Garden Square, Egerton Terrace",Formal garden,Kensington and Chelsea,0.0279,Free,,,,,,,,,
"Gardens, Adjacent To 81 Cadogan Gardens",Formal garden,Kensington and Chelsea,0.0326,Free,,,,,,,,,
"Amenity Area (west), Albert Bridge",Amenity green space,Kensington and Chelsea,0.0505,Free,,,,,,,,,
Convent Gardens Playground,Formal garden,Kensington and Chelsea,0.0362,Free,,,,,,,,,
Cromwell Gardens Triangle,Formal garden,Kensington and Chelsea,0.0476,Free,,,,,,,,,
Athlone Gardens,Park,Kensington and Chelsea,0.4658,Free,,,,,,,,,
Holland Park,Park,Kensington and Chelsea,21.1442,Free,,,,,,,,,
Bevington Road Gardens,Formal garden,Kensington and Chelsea,0.0235,Free,,,,,,,,,
"Gardens, Rear Of 6/50 Lower Sloane Street",Formal garden,Kensington and Chelsea,0.1423,Free,,,,,,,,,
Stone Hall Gardens,Formal garden,Kensington and Chelsea,0.1686,Free,,,,,,,,,
Amenity Area In Front Of 44/98 Barlby Road,Amenity green space,Kensington and Chelsea,0.0548,Free,,,,,,,,,
"Gardens, In Front Of 1/11 Cheyne Gardens",Formal garden,Kensington and Chelsea,0.0258,Free,,,,,,,,,
Chelsea Embankment Gardens West,Park,Kensington and Chelsea,0.3529,Free,,,,,,,,,
3 St. Mark's Close,Formal garden,Kensington and Chelsea,0.0501,Free,,,,,,,,,
Westway Wildlife Garden,Nature reserve,Kensington and Chelsea,0.1754,Free,,,,,,,,,
"Gardens, Rear Of Burton Court",Formal garden,Kensington and Chelsea,0.1259,Free,,,,,,,,,
"Playground, adjacent to St. Mary Abbots Church",Cemetery/churchyard,Kensington and Chelsea,0.0432,Restricted,,,,,,,,,
Orchard Close Playground,Play space,Kensington and Chelsea,0.0303,Free,,,,,,,,,
Matthew Close Playground,Play space,Kensington and Chelsea,0.0411,Free,,,,,,,,,
Markland House Green,Park,Kensington and Chelsea,0.2855,Free,,,,,,,,,
Tavistock Square Gardens (Kensington and Chelsea),Formal garden,Kensington and Chelsea,0.3349,Free,,,,,,,,,
Colville Square Gardens,Formal garden,Kensington and Chelsea,0.1782,Free,,,,,,,,,
Katherine House Public Playground,Play space,Kensington and Chelsea,0.0098,Free,,,,,,,,,
Holland Walk,Walking/cycling route,Kensington and Chelsea,0.9003,Free,,,,,,,,,
"Gardens, Rear Of 62/110 Elm Park Gardens",Formal garden,Kensington and Chelsea,0.3896,Free,,,,,,,,,
Avondale Park Gardens,Amenity green space,Kensington and Chelsea,0.0865,Free,,,,,,,,,
Katherine Square Gardens,Formal garden,Kensington and Chelsea,0.0662,Free,,,,,,,,,
Wayneflete Square Gardens,Park,Kensington and Chelsea,0.4707,Free,,,,,,,,,
Treverton Street Playground,Play space,Kensington and Chelsea,0.0889,Free,,,,,,,,,
"Amenity Area, Matthew Close",Amenity green space,Kensington and Chelsea,0.0455,Free,,,,,,,,,
"Holy Trinity, Brompton",Cemetery/churchyard,Kensington and Chelsea,0.8018,Free,,,,,,,,,
Brompton Cemetery,Cemetery/churchyard,Kensington and Chelsea,15.3622,Free,,,,,,,,,
