LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,,Aggregate IMD Decile,Borough
E01004513,Wandsworth 018B,E09000032,Wandsworth,"15,875",5,,,
E01004514,Wandsworth 012C,E09000032,Wandsworth,"25,454",8,,,
E01004515,Wandsworth 012D,E09000032,Wandsworth,"19,074",6,,,
E01004516,Wandsworth 036A,E09000032,Wandsworth,"21,815",7,,,
E01004517,Wandsworth 037A,E09000032,Wandsworth,"18,989",6,,,
E01004518,Wandsworth 036B,E09000032,Wandsworth,"20,999",7,,,
E01004519,Wandsworth 036C,E09000032,Wandsworth,"17,332",6,,,
E01004520,Wandsworth 036D,E09000032,Wandsworth,"17,433",6,,,
E01004521,Wandsworth 037B,E09000032,Wandsworth,"17,534",6,,,
E01004522,Wandsworth 037C,E09000032,Wandsworth,"15,866",5,,,
E01004523,Wandsworth 036E,E09000032,Wandsworth,"15,182",5,,,
E01004524,Wandsworth 037D,E09000032,Wandsworth,"5,868",2,,,
E01004525,Wandsworth 035A,E09000032,Wandsworth,"13,131",4,,,
E01004526,Wandsworth 035B,E09000032,Wandsworth,"12,185",4,,,
E01004527,Wandsworth 035C,E09000032,Wandsworth,"18,676",6,,,
E01004528,Wandsworth 035D,E09000032,Wandsworth,"8,673",3,,,
E01004529,Wandsworth 035E,E09000032,Wandsworth,"20,554",7,,,
E01004530,Wandsworth 035F,E09000032,Wandsworth,"18,736",6,,,
E01004531,Wandsworth 033A,E09000032,Wandsworth,"10,579",4,,,
E01004532,Wandsworth 032A,E09000032,Wandsworth,"17,810",6,,,
E01004533,Wandsworth 033B,E09000032,Wandsworth,"9,564",3,,,
E01004534,Wandsworth 008A,E09000032,Wandsworth,"20,468",7,,,
E01004535,Wandsworth 007A,E09000032,Wandsworth,"4,970",2,,,
E01004536,Wandsworth 008B,E09000032,Wandsworth,"11,674",4,,,
E01004537,Wandsworth 007B,E09000032,Wandsworth,"6,489",2,,,
E01004538,Wandsworth 007C,E09000032,Wandsworth,"10,702",4,,,
E01004539,Wandsworth 003A,E09000032,Wandsworth,"6,208",2,,,
E01004540,Wandsworth 003B,E09000032,Wandsworth,"9,942",4,,,
E01004541,Wandsworth 007D,E09000032,Wandsworth,"4,700",2,,,
E01004542,Wandsworth 021D,E09000032,Wandsworth,"28,352",9,,,
E01004543,Wandsworth 027A,E09000032,Wandsworth,"27,182",9,,,
E01004544,Wandsworth 021E,E09000032,Wandsworth,"22,063",7,,,
E01004545,Wandsworth 027B,E09000032,Wandsworth,"23,829",8,,,
E01004546,Wandsworth 027C,E09000032,Wandsworth,"28,753",9,,,
E01004547,Wandsworth 029C,E09000032,Wandsworth,"14,054",5,,,
E01004548,Wandsworth 029D,E09000032,Wandsworth,"16,560",6,,,
E01004549,Wandsworth 027D,E09000032,Wandsworth,"14,976",5,,,
E01004550,Wandsworth 017D,E09000032,Wandsworth,"20,846",7,,,
E01004551,Wandsworth 012E,E09000032,Wandsworth,"16,564",6,,,
E01004552,Wandsworth 008C,E09000032,Wandsworth,"23,714",8,,,
E01004553,Wandsworth 015A,E09000032,Wandsworth,"23,022",8,,,
E01004554,Wandsworth 009A,E09000032,Wandsworth,"28,864",9,,,
E01004555,Wandsworth 017E,E09000032,Wandsworth,"30,653",10,,,
E01004556,Wandsworth 009B,E09000032,Wandsworth,"30,796",10,,,
E01004557,Wandsworth 015B,E09000032,Wandsworth,"26,658",9,,,
E01004558,Wandsworth 015C,E09000032,Wandsworth,"29,652",10,,,
E01004559,Wandsworth 015D,E09000032,Wandsworth,"27,575",9,,,
E01004560,Wandsworth 001A,E09000032,Wandsworth,"16,606",6,,,
E01004562,Wandsworth 002B,E09000032,Wandsworth,"8,087",3,,,
E01004563,Wandsworth 002C,E09000032,Wandsworth,"7,775",3,,,
E01004564,Wandsworth 002D,E09000032,Wandsworth,"15,699",5,,,
E01004565,Wandsworth 005A,E09000032,Wandsworth,"15,043",5,,,
E01004566,Wandsworth 001B,E09000032,Wandsworth,"22,476",7,,,
E01004567,Wandsworth 002E,E09000032,Wandsworth,"7,246",3,,,
E01004568,Wandsworth 013A,E09000032,Wandsworth,"11,579",4,,,
E01004569,Wandsworth 023A,E09000032,Wandsworth,"10,975",4,,,
E01004570,Wandsworth 023B,E09000032,Wandsworth,"6,433",2,,,
E01004571,Wandsworth 023C,E09000032,Wandsworth,"11,003",4,,,
E01004572,Wandsworth 016A,E09000032,Wandsworth,"12,072",4,,,
E01004573,Wandsworth 023D,E09000032,Wandsworth,"9,403",3,,,
E01004574,Wandsworth 013B,E09000032,Wandsworth,"5,928",2,,,
E01004575,Wandsworth 013C,E09000032,Wandsworth,"8,305",3,,,
E01004576,Wandsworth 013D,E09000032,Wandsworth,"9,829",3,,,
E01004577,Wandsworth 003C,E09000032,Wandsworth,"19,652",6,,,
E01004579,Wandsworth 004B,E09000032,Wandsworth,"15,348",5,,,
E01004580,Wandsworth 004C,E09000032,Wandsworth,"15,480",5,,,
E01004581,Wandsworth 004D,E09000032,Wandsworth,"18,520",6,,,
E01004582,Wandsworth 001C,E09000032,Wandsworth,"25,733",8,,,
E01004583,Wandsworth 001D,E09000032,Wandsworth,"21,872",7,,,
E01004584,Wandsworth 003D,E09000032,Wandsworth,"7,042",3,,,
E01004585,Wandsworth 008D,E09000032,Wandsworth,"24,327",8,,,
E01004586,Wandsworth 009C,E09000032,Wandsworth,"24,309",8,,,
E01004587,Wandsworth 009D,E09000032,Wandsworth,"26,459",9,,,
E01004588,Wandsworth 008E,E09000032,Wandsworth,"21,164",7,,,
E01004589,Wandsworth 009E,E09000032,Wandsworth,"27,504",9,,,
E01004590,Wandsworth 005B,E09000032,Wandsworth,"10,520",4,,,
E01004591,Wandsworth 005C,E09000032,Wandsworth,"15,550",5,,,
E01004592,Wandsworth 005D,E09000032,Wandsworth,"10,399",4,,,
E01004593,Wandsworth 025A,E09000032,Wandsworth,"26,376",9,,,
E01004594,Wandsworth 020D,E09000032,Wandsworth,"30,272",10,,,
E01004595,Wandsworth 025B,E09000032,Wandsworth,"26,770",9,,,
E01004596,Wandsworth 020E,E09000032,Wandsworth,"29,297",9,,,
E01004597,Wandsworth 025C,E09000032,Wandsworth,"22,210",7,,,
E01004598,Wandsworth 025D,E09000032,Wandsworth,"26,755",9,,,
E01004599,Wandsworth 025E,E09000032,Wandsworth,"31,858",10,,,
E01004600,Wandsworth 018C,E09000032,Wandsworth,"9,097",3,,,
E01004601,Wandsworth 018D,E09000032,Wandsworth,"14,917",5,,,
E01004602,Wandsworth 010C,E09000032,Wandsworth,"25,029",8,,,
E01004604,Wandsworth 006A,E09000032,Wandsworth,"27,298",9,,,
E01004605,Wandsworth 006B,E09000032,Wandsworth,"21,436",7,,,
E01004606,Wandsworth 006C,E09000032,Wandsworth,"29,425",9,,,
E01004607,Wandsworth 006D,E09000032,Wandsworth,"28,435",9,,,
E01004608,Wandsworth 006E,E09000032,Wandsworth,"18,238",6,,,
E01004609,Wandsworth 010E,E09000032,Wandsworth,"23,061",8,,,
E01004610,Wandsworth 033C,E09000032,Wandsworth,"14,415",5,,,
E01004611,Wandsworth 032B,E09000032,Wandsworth,"18,072",6,,,
E01004612,Wandsworth 032C,E09000032,Wandsworth,"13,529",5,,,
E01004613,Wandsworth 033D,E09000032,Wandsworth,"6,866",3,,,
E01004614,Wandsworth 034A,E09000032,Wandsworth,"16,536",6,,,
E01004615,Wandsworth 034B,E09000032,Wandsworth,"5,177",2,,,
E01004616,Wandsworth 034C,E09000032,Wandsworth,"17,793",6,,,
E01004617,Wandsworth 034D,E09000032,Wandsworth,"12,245",4,,,
E01004618,Wandsworth 032D,E09000032,Wandsworth,"20,722",7,,,
E01004619,Wandsworth 015E,E09000032,Wandsworth,"20,376",7,,,
E01004620,Wandsworth 019C,E09000032,Wandsworth,"20,379",7,,,
E01004621,Wandsworth 019D,E09000032,Wandsworth,"17,769",6,,,
E01004622,Wandsworth 024D,E09000032,Wandsworth,"13,491",5,,,
E01004623,Wandsworth 019E,E09000032,Wandsworth,"25,996",8,,,
E01004624,Wandsworth 024E,E09000032,Wandsworth,"14,815",5,,,
E01004625,Wandsworth 027E,E09000032,Wandsworth,"27,625",9,,,
E01004626,Wandsworth 027F,E09000032,Wandsworth,"19,942",7,,,
E01004627,Wandsworth 019F,E09000032,Wandsworth,"24,322",8,,,
E01004628,Wandsworth 022A,E09000032,Wandsworth,"11,763",4,,,
E01004629,Wandsworth 020F,E09000032,Wandsworth,"26,152",8,,,
E01004630,Wandsworth 022B,E09000032,Wandsworth,"8,066",3,,,
E01004631,Wandsworth 022C,E09000032,Wandsworth,"13,693",5,,,
E01004632,Wandsworth 028A,E09000032,Wandsworth,"26,566",9,,,
E01004633,Wandsworth 022D,E09000032,Wandsworth,"10,006",4,,,
E01004634,Wandsworth 028B,E09000032,Wandsworth,"21,202",7,,,
E01004635,Wandsworth 028C,E09000032,Wandsworth,"20,830",7,,,
E01004636,Wandsworth 028D,E09000032,Wandsworth,"18,240",6,,,
E01004637,Wandsworth 028E,E09000032,Wandsworth,"19,001",6,,,
E01004638,Wandsworth 011B,E09000032,Wandsworth,"28,633",9,,,
E01004639,Wandsworth 011C,E09000032,Wandsworth,"24,017",8,,,
E01004640,Wandsworth 011D,E09000032,Wandsworth,"30,360",10,,,
E01004641,Wandsworth 011E,E09000032,Wandsworth,"14,652",5,,,
E01004642,Wandsworth 016B,E09000032,Wandsworth,"12,645",4,,,
E01004643,Wandsworth 016C,E09000032,Wandsworth,"12,940",4,,,
E01004644,Wandsworth 016D,E09000032,Wandsworth,"15,979",5,,,
E01004645,Wandsworth 016E,E09000032,Wandsworth,"8,654",3,,,
E01004646,Westminster 002A,E09000033,Westminster,"19,570",6,,,
E01004647,Westminster 001A,E09000033,Westminster,"17,624",6,,,
E01004648,Westminster 002B,E09000033,Westminster,"23,935",8,,,
E01004649,Westminster 001B,E09000033,Westminster,"29,012",9,,,
E01004650,Westminster 002C,E09000033,Westminster,"29,514",9,,,
E01004651,Westminster 003A,E09000033,Westminster,"25,503",8,,,
E01004652,Westminster 017A,E09000033,Westminster,"18,062",6,,,
E01004653,Westminster 014A,E09000033,Westminster,"23,503",8,,,
E01004654,Westminster 014B,E09000033,Westminster,"21,266",7,,,
E01004656,Westminster 014D,E09000033,Westminster,"11,625",4,,,
E01004657,Westminster 012A,E09000033,Westminster,"22,741",7,,,
E01004658,Westminster 012B,E09000033,Westminster,"18,296",6,,,
E01004659,Westminster 008A,E09000033,Westminster,"27,574",9,,,
E01004660,Westminster 008B,E09000033,Westminster,"26,318",9,,,
E01004661,Westminster 012C,E09000033,Westminster,"14,144",5,,,
E01004662,Westminster 012D,E09000033,Westminster,"22,170",7,,,
E01004663,Westminster 012E,E09000033,Westminster,"16,131",5,,,
E01004665,Westminster 024A,E09000033,Westminster,"5,376",2,,,
E01004666,Westminster 023B,E09000033,Westminster,"10,123",4,,,
E01004667,Westminster 023C,E09000033,Westminster,"7,987",3,,,
E01004668,Westminster 023D,E09000033,Westminster,"15,757",5,,,
E01004669,Westminster 024B,E09000033,Westminster,"7,591",3,,,
E01004670,Westminster 009A,E09000033,Westminster,"2,488",1,,,
E01004674,Westminster 005A,E09000033,Westminster,"6,143",2,,,
E01004675,Westminster 005B,E09000033,Westminster,"6,646",3,,,
E01004676,Westminster 006A,E09000033,Westminster,"13,382",5,,,
E01004677,Westminster 005C,E09000033,Westminster,"12,092",4,,,
E01004678,Westminster 005D,E09000033,Westminster,"10,961",4,,,
E01004679,Westminster 005E,E09000033,Westminster,"7,034",3,,,
E01004680,Westminster 015A,E09000033,Westminster,"23,309",8,,,
E01004681,Westminster 016A,E09000033,Westminster,"22,113",7,,,
E01004682,Westminster 016B,E09000033,Westminster,"19,698",6,,,
E01004683,Westminster 015B,E09000033,Westminster,"26,341",9,,,
E01004684,Westminster 015C,E09000033,Westminster,"13,307",5,,,
E01004686,Westminster 015E,E09000033,Westminster,"11,469",4,,,
E01004687,Westminster 019A,E09000033,Westminster,"28,371",9,,,
E01004688,Westminster 019B,E09000033,Westminster,"30,198",10,,,
E01004689,Westminster 019C,E09000033,Westminster,"17,986",6,,,
E01004690,Westminster 019D,E09000033,Westminster,"30,073",10,,,
E01004691,Westminster 019E,E09000033,Westminster,"23,381",8,,,
E01004692,Westminster 019F,E09000033,Westminster,"28,779",9,,,
E01004693,Westminster 017B,E09000033,Westminster,"21,478",7,,,
E01004694,Westminster 016C,E09000033,Westminster,"26,491",9,,,
E01004695,Westminster 017C,E09000033,Westminster,"21,342",7,,,
E01004696,Westminster 017D,E09000033,Westminster,"6,924",3,,,
E01004697,Westminster 016D,E09000033,Westminster,"17,722",6,,,
E01004698,Westminster 017E,E09000033,Westminster,"14,384",5,,,
E01004699,Westminster 017F,E09000033,Westminster,"19,200",6,,,
E01004700,Westminster 016E,E09000033,Westminster,"22,989",7,,,
E01004701,Westminster 007A,E09000033,Westminster,"25,245",8,,,
E01004702,Westminster 009E,E09000033,Westminster,"3,687",2,,,
E01004703,Westminster 007B,E09000033,Westminster,"23,871",8,,,
E01004705,Westminster 007D,E09000033,Westminster,"30,175",10,,,
E01004706,Westminster 006B,E09000033,Westminster,"27,823",9,,,
E01004707,Westminster 006C,E09000033,Westminster,"31,583",10,,,
E01004708,Westminster 006D,E09000033,Westminster,"12,143",4,,,
E01004709,Westminster 007E,E09000033,Westminster,"14,236",5,,,
E01004710,Westminster 002D,E09000033,Westminster,"7,483",3,,,
E01004711,Westminster 002E,E09000033,Westminster,"11,199",4,,,
E01004712,Westminster 008C,E09000033,Westminster,"23,263",8,,,
E01004713,Westminster 011A,E09000033,Westminster,"27,672",9,,,
E01004714,Westminster 011B,E09000033,Westminster,"24,181",8,,,
E01004715,Westminster 013A,E09000033,Westminster,"18,090",6,,,
E01004716,Westminster 011C,E09000033,Westminster,"27,864",9,,,
E01004717,Westminster 011D,E09000033,Westminster,"22,125",7,,,
E01004718,Westminster 004A,E09000033,Westminster,"8,120",3,,,
E01004719,Westminster 004B,E09000033,Westminster,"8,731",3,,,
E01004720,Westminster 004C,E09000033,Westminster,"7,066",3,,,
E01004721,Westminster 004D,E09000033,Westminster,"4,722",2,,,
E01004722,Westminster 004E,E09000033,Westminster,"5,553",2,,,
E01004723,Westminster 005F,E09000033,Westminster,"8,354",3,,,
E01004724,Westminster 001C,E09000033,Westminster,"23,490",8,,,
E01004725,Westminster 003B,E09000033,Westminster,"9,498",3,,,
E01004726,Westminster 003C,E09000033,Westminster,"25,261",8,,,
E01004727,Westminster 008D,E09000033,Westminster,"24,363",8,,,
E01004728,Westminster 003D,E09000033,Westminster,"19,059",6,,,
E01004729,Westminster 003E,E09000033,Westminster,"10,420",4,,,
E01004730,Westminster 001D,E09000033,Westminster,"28,806",9,,,
E01004731,Westminster 020A,E09000033,Westminster,"24,520",8,,,
E01004732,Westminster 020B,E09000033,Westminster,"3,324",2,,,
E01004733,Westminster 020C,E09000033,Westminster,"15,991",5,,,
E01004734,Westminster 018A,E09000033,Westminster,"7,933",3,,,
E01004735,Westminster 018B,E09000033,Westminster,"5,794",2,,,
E01004736,Westminster 018C,E09000033,Westminster,"24,862",8,,,
E01004737,Westminster 024C,E09000033,Westminster,"14,145",5,,,
E01004738,Westminster 024D,E09000033,Westminster,"25,164",8,,,
E01004739,Westminster 024E,E09000033,Westminster,"25,205",8,,,
E01004740,Westminster 021A,E09000033,Westminster,"6,426",2,,,
E01004741,Westminster 024F,E09000033,Westminster,"13,839",5,,,
E01004742,Westminster 022A,E09000033,Westminster,"23,098",8,,,
E01004743,Westminster 021B,E09000033,Westminster,"13,668",5,,,
E01004744,Westminster 020D,E09000033,Westminster,"10,482",4,,,
E01004745,Westminster 021C,E09000033,Westminster,"17,777",6,,,
E01004746,Westminster 021D,E09000033,Westminster,"9,216",3,,,
E01004747,Westminster 021E,E09000033,Westminster,"12,655",4,,,
E01004748,Westminster 020E,E09000033,Westminster,"26,006",8,,,
E01004749,Westminster 022B,E09000033,Westminster,"20,814",7,,,
E01004750,Westminster 023E,E09000033,Westminster,"15,320",5,,,
E01004751,Westminster 022C,E09000033,Westminster,"24,060",8,,,
E01004752,Westminster 022D,E09000033,Westminster,"12,381",4,,,
E01004753,Westminster 022E,E09000033,Westminster,"17,568",6,,,
E01004754,Westminster 010A,E09000033,Westminster,"2,865",1,,,
E01004755,Westminster 010B,E09000033,Westminster,"8,689",3,,,
E01004756,Westminster 006E,E09000033,Westminster,"12,183",4,,,
E01004757,Westminster 010C,E09000033,Westminster,"4,110",2,,,
E01004760,Westminster 014E,E09000033,Westminster,"10,773",4,,,
E01004761,Westminster 018D,E09000033,Westminster,"26,464",9,,,
E01004762,Westminster 011E,E09000033,Westminster,"23,921",8,,,
E01004763,Westminster 013B,E09000033,Westminster,"11,768",4,,,
E01004765,Westminster 013D,E09000033,Westminster,"15,472",5,,,
E01032512,Westminster 010F,E09000033,Westminster,"3,326",2,,,
E01032513,Westminster 010G,E09000033,Westminster,"5,605",2,,,
E01032564,Lewisham 037E,E09000023,Lewisham,"4,245",2,,,
E01032565,Lewisham 038E,E09000023,Lewisham,"5,131",2,,,
E01032567,Greenwich 033D,E09000011,Greenwich,"15,449",5,,,
E01032579,Lewisham 039E,E09000023,Lewisham,"5,514",2,,,
E01032582,Lambeth 036E,E09000022,Lambeth,"8,211",3,,,
E01032583,Southwark 034D,E09000028,Southwark,"7,940",3,,,
E01032584,Southwark 034E,E09000028,Southwark,"8,963",3,,,
E01032637,Southwark 003F,E09000028,Southwark,"24,490",8,,,
E01032638,Southwark 003G,E09000028,Southwark,"29,878",10,,,
E01032639,Southwark 014F,E09000028,Southwark,"12,228",4,,,
E01032640,Southwark 003H,E09000028,Southwark,"24,817",8,,,
E01032646,Southwark 003I,E09000028,Southwark,"19,949",7,,,
E01032719,Southwark 014G,E09000028,Southwark,"10,176",4,,,
E01032720,Southwark 009F,E09000028,Southwark,"2,298",1,,,
E01032722,Southwark 012F,E09000028,Southwark,"5,242",2,,,
E01032764,Tower Hamlets 004E,E09000030,Tower Hamlets,"12,594",4,,,
E01032765,Tower Hamlets 004F,E09000030,Tower Hamlets,"8,918",3,,,
E01032766,Tower Hamlets 021E,E09000030,Tower Hamlets,"14,542",5,,,
E01032767,Tower Hamlets 021F,E09000030,Tower Hamlets,"22,328",7,,,
E01032768,Tower Hamlets 025E,E09000030,Tower Hamlets,"21,107",7,,,
E01032769,Tower Hamlets 025F,E09000030,Tower Hamlets,"16,124",5,,,
E01032770,Tower Hamlets 032B,E09000030,Tower Hamlets,"17,320",6,,,
E01032771,Tower Hamlets 033B,E09000030,Tower Hamlets,"20,860",7,,,
E01032772,Tower Hamlets 032C,E09000030,Tower Hamlets,"11,466",4,,,
E01032773,Tower Hamlets 032D,E09000030,Tower Hamlets,"19,572",6,,,
E01032774,Tower Hamlets 032E,E09000030,Tower Hamlets,"7,916",3,,,
E01032775,Tower Hamlets 031F,E09000030,Tower Hamlets,"25,292",8,,,
E01032776,Tower Hamlets 028E,E09000030,Tower Hamlets,"24,799",8,,,
E01032777,Tower Hamlets 028F,E09000030,Tower Hamlets,"15,657",5,,,
E01032778,Tower Hamlets 028G,E09000030,Tower Hamlets,"16,614",6,,,
E01032779,Tower Hamlets 028H,E09000030,Tower Hamlets,"16,738",6,,,
E01032780,Tower Hamlets 028I,E09000030,Tower Hamlets,"17,778",6,,,
E01032781,Tower Hamlets 033C,E09000030,Tower Hamlets,"21,416",7,,,
E01032782,Tower Hamlets 033D,E09000030,Tower Hamlets,"14,749",5,,,
E01032783,Tower Hamlets 031G,E09000030,Tower Hamlets,"16,421",5,,,
E01032784,Tower Hamlets 004G,E09000030,Tower Hamlets,"12,196",4,,,
E01032785,Tower Hamlets 010E,E09000030,Tower Hamlets,"13,712",5,,,
E01032786,Tower Hamlets 010F,E09000030,Tower Hamlets,"9,758",3,,,
E01032787,Tower Hamlets 011F,E09000030,Tower Hamlets,"6,192",2,,,
E01032788,Hammersmith and Fulham 023D,E09000013,Hammersmith and Fulham,"9,722",3,,,
E01032789,Hammersmith and Fulham 023E,E09000013,Hammersmith and Fulham,"16,892",6,,,
E01032790,Hammersmith and Fulham 023F,E09000013,Hammersmith and Fulham,"16,130",5,,,
E01032803,Southwark 003J,E09000028,Southwark,"17,880",6,,,
E01032805,Southwark 022F,E09000028,Southwark,"4,985",2,,,
E01032834,Southwark 003K,E09000028,Southwark,"25,667",8,,,
E01033093,Wandsworth 010F,E09000032,Wandsworth,"21,599",7,,,
E01033098,Wandsworth 002F,E09000032,Wandsworth,"16,588",6,,,
E01033099,Wandsworth 004E,E09000032,Wandsworth,"13,403",5,,,
E01033100,Wandsworth 002G,E09000032,Wandsworth,"9,545",3,,,
E01033101,Wandsworth 004F,E09000032,Wandsworth,"26,739",9,,,
E01033132,Wandsworth 002H,E09000032,Wandsworth,"8,273",3,,,
E01033133,Wandsworth 004G,E09000032,Wandsworth,"21,289",7,,,
E01033135,Wandsworth 010G,E09000032,Wandsworth,"29,855",10,,,
E01033207,Lambeth 004F,E09000022,Lambeth,"4,844",2,,,
E01033208,Lambeth 004G,E09000022,Lambeth,"15,397",5,,,
E01033320,Lewisham 017E,E09000023,Lewisham,"12,864",4,,,
E01033322,Lewisham 017F,E09000023,Lewisham,"12,310",4,,,
E01033324,Lewisham 008E,E09000023,Lewisham,"6,828",3,,,
E01033325,Lewisham 008F,E09000023,Lewisham,"14,504",5,,,
E01033327,Lewisham 012F,E09000023,Lewisham,"6,379",2,,,
E01033341,Lewisham 012G,E09000023,Lewisham,"7,263",3,,,
E01033486,Islington 011E,E09000019,Islington,"5,005",2,,,
E01033487,Islington 011F,E09000019,Islington,"23,623",8,,,
E01033488,Islington 011G,E09000019,Islington,"6,677",3,,,
E01033489,Islington 022G,E09000019,Islington,"21,648",7,,,
E01033490,Islington 022H,E09000019,Islington,"14,740",5,,,
E01033491,Islington 011H,E09000019,Islington,"8,440",3,,,
E01033492,Islington 011I,E09000019,Islington,"8,006",3,,,
E01033493,Islington 006F,E09000019,Islington,"22,483",7,,,
E01033494,Islington 006G,E09000019,Islington,"17,374",6,,,
E01033593,Westminster 015F,E09000033,Westminster,"9,625",3,,,
E01033594,Westminster 015G,E09000033,Westminster,"8,369",3,,,
E01033595,Westminster 013E,E09000033,Westminster,"16,446",6,,,
E01033596,Westminster 013F,E09000033,Westminster,"10,393",4,,,
E01033597,Westminster 023F,E09000033,Westminster,"9,671",3,,,
E01033598,Westminster 009F,E09000033,Westminster,"1,850",1,,,
E01033599,Westminster 023G,E09000033,Westminster,"7,759",3,,,
E01033600,Westminster 007F,E09000033,Westminster,"23,435",8,,,
E01033601,Westminster 009G,E09000033,Westminster,"7,015",3,,,
E01033602,Westminster 009H,E09000033,Westminster,"3,978",2,,,
E01033603,Westminster 009I,E09000033,Westminster,"4,851",2,,,
E01033604,Westminster 009J,E09000033,Westminster,"6,478",2,,,
E01033605,Westminster 009K,E09000033,Westminster,"4,098",2,,,
E01033606,Westminster 014F,E09000033,Westminster,"19,938",7,,,
E01033607,Westminster 014G,E09000033,Westminster,"12,626",4,,,
E01033608,Westminster 007G,E09000033,Westminster,"18,794",6,,,
E01033698,Hackney 021F,E09000012,Hackney,"6,091",2,,,
E01033699,Hackney 021G,E09000012,Hackney,"6,411",2,,,
E01033700,Hackney 021H,E09000012,Hackney,"7,953",3,,,
E01033701,Hackney 002F,E09000012,Hackney,"2,578",1,,,
E01033702,Hackney 028C,E09000012,Hackney,"5,611",2,,,
E01033703,Hackney 010F,E09000012,Hackney,"6,196",2,,,
E01033704,Hackney 023F,E09000012,Hackney,"9,828",3,,,
E01033705,Hackney 028D,E09000012,Hackney,"7,191",3,,,
E01033706,Hackney 027F,E09000012,Hackney,"6,887",3,,,
E01033707,Hackney 021I,E09000012,Hackney,"6,864",3,,,
E01033708,Hackney 027G,E09000012,Hackney,"14,243",5,,,
E01033709,Hackney 027H,E09000012,Hackney,"6,366",2,,,
E01033710,Hackney 028E,E09000012,Hackney,"10,980",4,,,
E01033711,Hackney 027I,E09000012,Hackney,"12,611",4,,,
E01033712,Hackney 023G,E09000012,Hackney,"6,490",2,,,
E01033713,Hackney 010G,E09000012,Hackney,"5,892",2,,,
E01033726,Greenwich 034E,E09000011,Greenwich,"6,446",2,,,
E01033727,Greenwich 035B,E09000011,Greenwich,"14,786",5,,,
E01033728,Greenwich 035C,E09000011,Greenwich,"25,444",8,,,
E01033729,Greenwich 030E,E09000011,Greenwich,"10,717",4,,,
E01033730,Greenwich 035D,E09000011,Greenwich,"16,644",6,,,
E01033731,Greenwich 004E,E09000011,Greenwich,"22,527",7,,,
E01033732,Greenwich 036D,E09000011,Greenwich,"10,335",4,,,
E01033733,Greenwich 036E,E09000011,Greenwich,"19,291",6,,,
E01033734,Greenwich 004F,E09000011,Greenwich,"18,297",6,,,
E01033735,Greenwich 004G,E09000011,Greenwich,"9,152",3,,,
E01033736,Greenwich 004H,E09000011,Greenwich,"23,883",8,,,
E01033737,Greenwich 004I,E09000011,Greenwich,"6,353",2,,,
E01033738,Greenwich 037D,E09000011,Greenwich,"12,531",4,,,
E01033739,Greenwich 002E,E09000011,Greenwich,"15,162",5,,,
E01033740,Greenwich 002F,E09000011,Greenwich,"14,071",5,,,
E01033741,Greenwich 002G,E09000011,Greenwich,"14,715",5,,,
E01033742,Greenwich 007F,E09000011,Greenwich,"20,945",7,,,
E01033743,Greenwich 002H,E09000011,Greenwich,"13,578",5,,,
E01033744,Greenwich 007G,E09000011,Greenwich,"8,319",3,,,
E01033745,Greenwich 002I,E09000011,Greenwich,"12,697",4,,,
E01033746,Greenwich 038E,E09000011,Greenwich,"12,902",4,,,
